,Dates,AUDNZD,EURCHF,AUDJPY,AUDSGD,EURAUD,EURJPY,EURNZD,EURSGD,GBPAUD,GBPCAD,GBPCHF,GBPNZD,NZDCAD,NZDJPY,SGDJPY,NZDUSD,AUDUSD,USDCHF,USDJPY,GBPUSD,EURUSD,USDCAD,USDSGD
0,10.01.2017,,,,,,,,,,,,,,,,,,,,,,,
1,11.01.2017,,,,,,,,,,,,,,,,,,,,,,,
2,12.01.2017,,,,,,,,,,,,,,,,,,,,,,,
3,13.01.2017,,,,,,,,,,,,,,,,,,,,,,,
4,14.01.2017,,,,,,,,,,,,,,,,,,,,,,,
5,16.01.2017,,,,,,,,,,,,,,,,,,,,,,,
6,17.01.2017,,,,,,,,,,,,,,,,,,,,,,,
7,18.01.2017,,,,,,,,,,,,,,,,,,,,,,,
8,19.01.2017,,,,,,,,,,,,,,,,,,,,,,,
9,20.01.2017,,,,,,,,,,,,,,,,,,,,,,,
10,21.01.2017,,,,,,,,,,,,,,,,,,,,,,,
11,23.01.2017,,,,,,,,,,,,,,,,,,,,,,,
12,24.01.2017,,,,,,,,,,,,,,,,,,,,,,,
13,25.01.2017,,,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0
14,26.01.2017,1.0,,,1.0,,1.0,1.0,1.0,,1.0,,,1.0,1.0,,1.0,,,,,1.0,1.0,1.0
15,27.01.2017,1.0,,,,1.0,,1.0,,1.0,,,1.0,1.0,,,1.0,,,,,1.0,,
16,28.01.2017,,,,,,,,,,,,,,,,,,,,,,,
17,30.01.2017,,1.0,,,,,1.0,,,1.0,,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,
18,31.01.2017,,1.0,,,,,,,1.0,,1.0,1.0,1.0,,,1.0,,,,1.0,1.0,,
19,01.02.2017,,,,,1.0,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0
20,02.02.2017,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,1.0,,1.0,1.0,1.0
21,03.02.2017,,1.0,1.0,1.0,,1.0,1.0,,,,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,1.0,1.0
22,04.02.2017,,,,,,,,,,,,,,,,,,,,,,,
23,06.02.2017,,,,,,1.0,,,,,,,,1.0,,1.0,,1.0,,,1.0,1.0,1.0
24,07.02.2017,,,1.0,1.0,,,,,1.0,,1.0,1.0,,,,,1.0,,1.0,1.0,,,
25,08.02.2017,1.0,,1.0,,,,,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0
26,09.02.2017,,1.0,,,,1.0,,,,1.0,1.0,,,,1.0,,1.0,1.0,1.0,,1.0,,
27,10.02.2017,,,,,,1.0,1.0,,1.0,1.0,,1.0,,,,1.0,1.0,,,1.0,,1.0,1.0
28,11.02.2017,,,,,,,,,,,,,,,,,,,,,,,
29,13.02.2017,1.0,,,1.0,,,,,,1.0,,1.0,,,,,1.0,,,1.0,,1.0,
30,14.02.2017,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,,1.0,,
31,15.02.2017,,1.0,,,,,,1.0,,,1.0,,1.0,,,1.0,,,,,,1.0,1.0
32,16.02.2017,,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,
33,17.02.2017,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,1.0,1.0,,1.0,1.0,1.0
34,18.02.2017,,,,,,,,,,,,,,,,,,,,,,,
35,20.02.2017,,,,,,1.0,1.0,,,1.0,,,,1.0,,,1.0,,,1.0,,,
36,21.02.2017,,,,1.0,,,,,,,,,,1.0,,,1.0,,,1.0,,,
37,22.02.2017,,1.0,1.0,,,,,,,,,1.0,1.0,1.0,1.0,,1.0,,,1.0,,1.0,
38,23.02.2017,,1.0,1.0,,1.0,,,,1.0,,1.0,,,1.0,,,,1.0,,,,1.0,
